feature,importance
event_data_prop_4a4c3d21_duration_max,8.3
event_data_prop_7423acbc_total_duration_std,8.3
event_data_prop_cb6010f8_duration_sum,8.299999999999999
event_data_prop_ab3136ba_duration_std,8.299999999999999
event_data_prop_3edf6747_duration_sum,8.200000000000001
event_data_prop_ea321fb1_total_duration_sum,8.200000000000001
event_data_prop_e5c9df6f_duration_mean,8.2
event_data_prop_46cd75b4_duration_sum,8.2
event_data_prop_fcfdffb6_duration_sum,8.2
event_data_prop_56817e2b_duration_sum,8.2
event_data_prop_895865f3_misses_std,8.2
event_data_prop_a8a78786_duration_sum,8.2
event_data_prop_832735e1_total_duration_mean,8.1
event_data_prop_c7128948_duration_sum,8.1
event_data_prop_f7e47413_duration_std,8.1
event_data_prop_763fc34e_total_duration_mean,8.0
event_data_prop_88d4a5be_duration_mean,8.0
event_data_prop_f6947f54_duration_std,8.0
event_data_prop_15eb4a7d_duration_mean,8.0
event_data_prop_e3ff61fb_total_duration_std,8.0
event_data_prop_709b1251_duration_sum,7.999999999999999
event_data_prop_e04fb33d_duration_std,7.999999999999999
event_data_prop_31973d56_duration_mean,7.999999999999999
event_data_prop_e5734469_total_duration_mean,7.900000000000001
event_data_prop_250513af_total_duration_max,7.9
event_data_prop_d45ed6a1_duration_mean,7.9
event_data_prop_9de5e594_total_duration_std,7.8999999999999995
event_data_prop_5859dfb6_duration_max,7.800000000000001
event_data_prop_df4fe8b6_duration_max,7.800000000000001
event_data_prop_3d0b9317_duration_std,7.800000000000001
event_data_prop_df4fe8b6_duration_sum,7.8
event_data_prop_5859dfb6_duration_std,7.8
event_data_prop_ea296733_total_duration_std,7.8
event_data_prop_53c6e11a_duration_sum,7.700000000000001
event_data_prop_df4940d3_duration_max,7.700000000000001
event_data_prop_5290eab1_duration_std,7.7
event_data_prop_49ed92e9_total_duration_sum,7.7
event_data_prop_e3ff61fb_total_duration_mean,7.699999999999999
event_data_prop_3ccd3f02_duration_mean,7.699999999999999
